class_id,car_length,car_width,car_height,wheelbase,brand
10486,2900,1545,1590,2080,康迪K10
10491,2806,1540,1555,1765,吉利知豆
10505,4155,1650,1445,2400,同悦
10507,4695,1820,1880,2810,江淮汽车 瑞风
10508,4995,1890,1503,2915,江淮IEV7
10511,5100,1840,1970,3080,江淮M5
10512,4135,1750,1550,2490,瑞风S3
10512,4135,1750,1568,2490,瑞风S2
10518,3427,1565,1410,2260,江铃E100
10524,4636,1865,1810,2760,陆风X8
10526,4892,1862,1837,2850,福特撼路者
10537,3775,1620,1430,2340,力帆330
10537,3775,1620,1460,2340,力帆330
10545,4325,1790,1690,2600,力帆X60
10546,4015,1595,1900,2525,力帆LF6401
10553,4355,1900,1635,2660,路虎揽胜极光
10561,4458,1755,1493,2572,艾瑞泽3
class_id,car_length,car_width,car_height,wheelbase
10566,4139,1686,1492,2527, 风云2
10571,4552,1750,1483,2600,奇瑞A5
10573,3564,1620,1527,2340,奇瑞QQ
10574,3550,1495,1485,2340,奇瑞QQ3
10584,4420,1760,1670,2510,瑞虎3
10604,4640,1750,1466,2670,莲花L5
10606,3340,1564,1500,2260,青年迈迪i3
10624,4445,1765,1485,2610,朗行2015款
10628,4780,1740,1470,2803,帕萨特2.0
10638,4506,1809,1685,2684,途观1.8TSI
10640,3992,1642,1500,2465,斯柯达晶锐
10641,4569,1769,1462,2578,斯柯达-明锐
10643,4304,1706,1475,2603,斯柯达昕动
10644,4501,1706,1469,2603,斯柯达昕锐
10648,4653,1827,1480,2705,名爵MG
10651,4612,1804,1488,2650,名爵锐行
10654,4579,1804,1490,2660,荣威360
10656,4846,1765,1422,2849,荣威750EX
10661,4278,1774,1646,2555,昂科拉ENCORE
10661,4278,1781,1648,2555,昂科拉ENCORE
10664,4830,1856,1484,2737,君威
10666,4308,1725,1453,2600,丰田威驰
10670,4718,1802,1471,2700,上汽通用别克威朗
10676,4730,1824,1421,2860,凯迪拉克ATS-L
10679,5103,1852,1502,2837,凯迪拉克XTS
10681,4248,1776,1684,2555,雪佛兰(CHEVROLET)牌SGM7140GAX2
10684,4450,1807,1459,2700,雪佛兰科鲁兹
10690,3947,1690,1507,2465,雪佛兰乐风
10692,4620,1810,1750,2750,上汽通用五菱宝骏560
10692,4620,1810,1765,2750,上汽通用五菱宝骏560
10692,4620,1820,1755,2750,上汽通用五菱宝骏560
10696,3495,1495,1523,2340,上汽通用五菱乐驰
10702,4135,1660,1870,2700,五菱荣光
10703,4415,1685,1850,2720,五菱荣光V
10732,4508,1760,1750,2785,英致牌YZ6450EFBB2Z型
10733,4066,1737,1657,2502,英致G3
10750,4555,1835,1688,2665,野马T70
10750,4555,1835,1715,2665,野马T70
10764,4290,1680,1500,2425,威志V5
10770,4312,1785,1460,2629,奥迪
10772,4761,1826,1439,2869,奥迪A4L
10776,4629,1880,1653,2807,奥迪Q5
10780,4385,1674,1415,2471,一汽丰田捷达
10785,4570,1845,1690,2660,一汽丰田RAV4
10788,4540,1760,1490,2600,一汽丰田卡罗拉
10789,5080,1940,1890,2850,丰田兰德酷路泽
10792,4735,1795,1450,2850,锐志
10802,3930,1585,1845,2500,一汽吉林解放牌
10802,3930,1585,1857,2500,一汽吉林解放牌
10818,4705,1872,1645,2750,马自达CX-7
class_id,car_length,car_width,car_height,wheelbase
10820,4625,1790,1505,2630,一汽牌纯电动轿车
10821,4600,1785,1435,2675,一汽奔腾 奔腾B50
10829,3850,1750,1665,2280,永源汽车 永源A380
10847,3950,1722,1467,2490,福特-嘉年华
10848,4996,1878,1503,2949,金牛座
10853,4280,1785,1658,2530,长安福特 翼搏 
10854,4524,1838,1685,2640,翼虎
10854,4524,1838,1695,2690,翼虎
10854,4524,1838,1701,2690,翼虎
10855,4854,1886,1495,2850,福特蒙迪欧-致胜
10859,4505,1755,1470,2640,马自达3
10864,4300,1765,1580,2600,铃木锋驭
10867,4115,1730,1555,2500,长安铃木锐骑
10869,4175,1775,1610,2500,长安铃木维特拉
10870,3695,1690,1510,2390,长安铃木雨燕
10871,3730,1650,1530,2410,长安汽车奔奔
10883,4620,1820,1525,2660,长安汽车逸动
10883,4620,1820,1540,2660,长安汽车逸动
10888,4530,1745,1498,2610,悦翔V7
10890,4160,1810,1635,2560,哈弗M4
10892,3900,1700,1570,2450,长安CX20
10907,4430,1655,1935,2800,长安之星
10915,4545,1835,1700,2720,哈弗H6
10917,4856,1926,1900,2800,哈弗H9
10947,3300,1405,1410,2175,众泰 江南TT
10954,4527,1836,1682,2680,众泰大迈X5
10957,3970,1570,1730,2420,众泰汽车 众泰5008 
10958,2735,1600,1630,1810,众泰E200
10959,4089,1871,1695,2666,众泰M300
10963,3559,1620,1476,2360,众泰Z100
10964,3826,1640,1460,2385,众泰牌
10966,4750,1810,1490,2750,众泰Z500
10967,5020,1877,1469,3000,众泰Z700 
11145,4608,1743,1465,2610,朗逸
11160,4680,1800,1775,2780,长安CX70
11164,5179,1879,1500,3109,上汽通用凯迪
11165,4505,1725,1770,2760,福田伽途ix5
11170,4923,1854,1470,2829,雪佛兰 迈锐宝XL
11174,4348,1807,1574,2680,高尔夫·嘉旅
11177,4812,1903,1680,2857,凯迪拉克Vday
11179,4440,1760,1730,2720,力帆迈威
11186,4777,1794,1481,2678,斯柯达昕动
11202,4360,1785,1650,2535,比亚迪元
11204,4750,1800,1695,2800,海马V70
11205,4437,1833,1545,2680,吉利帝豪GL
11206,4700,1925,1718,2850,哈弗h7
11212,4435,1843,1510,2715,DS 4S康桥法诺
11214,4660,1810,1770,2750,东风风行SX6
11219,4995,1857,1500,2837,上汽荣威
11221,4630,1843,1861,2730,北京40
class_id,car_length,car_width,car_height,wheelbase
11222,4110,1750,1583,2519,北汽绅宝X25
11223,4720,1790,1800,2800,北汽银翔
11235,5168,1980,1928,3198,上汽大通
11239,3775,1665,1530,2450,启辰R30
11251,4286,1815,1665,2560,昌河Q35
11253,4544,1779,1467,2600,雪佛兰科沃兹
11254,5093,1880,1456,3100,捷豹XFL
11263,5200,1890,1980,3080,江淮瑞风M4
11263,5200,1890,2010,3080,江淮瑞风M4
11265,4810,1910,1770,2800,广汽传祺
11266,4710,1855,1770,2750,斯威X7
11267,4705,1810,1680,2670,广汽三菱欧蓝德
11267,4705,1810,1710,2670,广汽三菱欧蓝德
11269,4610,1790,1500,2630,骏派A70
11281,4618,1790,1780,2765,开瑞汽车K60
11290,4354,1840,1654,2610,东南DX3
11294,2488,1506,1620,1600,宝骏牌LZW7000EVA
11298,4505,1730,1788,2721,启腾V60
11306,4501,1806,1640,2630,风神牌ZN6451V1L5B型
11317,4720,1770,1800,2810,楚雄昌河M70
11320,3630,1670,1475,2390,江淮IEV6E
11325,3643,1669,1496,2340,裕路V2
11326,4350,1825,1685,2565,比速T3
11327,4745,1856,1710,2725,蒂阿兹
11331,4415,1819,1625,2636,马鞍山指南者
11332,4220,1740,1615,2550,上汽通用五菱拍宝骏510
11335,4579,1811,1494,2694,海口VELITE 5
11337,4456,1803,1446,2670,宝马1系
11348,4490,1877,1663,2685,宝沃牌BW7180A1Y5
11350,4730,1890,1690,2700,起亚KX7
11360,4698,1883,1676,2791,柯迪亚克TS1380
11363,4501,1726,1765,2750,启辰M50V
11363,4501,1726,1780,2750,启辰M50V
11368,4140,1700,1495,2550,威驰FS
11379,3778,1663,1519,2353,远景X1
11380,4500,1855,1690,2650,长安CS55
11390,4555,1970,1960,2800,北汽BJ80
11391,4670,1855,1655,2840,标致5008
11395,4160,1810,1670,2560,长安CS35
11396,4620,1710,1515,2750,宝俊310W
11397,4810,1795,1730,2760,长安欧尚A800
11410,4346,1825,1637,2560,广汽传祺 GE3
11416,4555,1835,1688,2665,野马T70
11416,4555,1835,1715,2665,野马T70
11418,3010,1605,1650,2025,红星纯电动运动型乘用车 HX6307YBEV
11419,4510,1860,1670,2730,天逸 C5
11421,4005,1760,1575,2480,远景X3
11422,4515,1815,1735,2690,风光S560
11423,4506,1841,1740,2610,瑞虎5
11425,4720,1815,1465,2770,起亚K4
class_id,car_length,car_width,car_height,wheelbase
11429,4615,1845,1655,2840,哈弗牌CC6467UM22A型
11431,4692,1794,1626,2796,别克GL6
11434,3675,1655,1570,2385,御捷E行
11436,4512,1857,1650,2734,领克01
11440,4395,1783,1573,2620,纳智捷U5
11443,4408,1804,1651,2625,荣威RX3
11445,4680,1720,1530,2700,东风风神E70
11453,4945,1845,1470,2875,雅阁2010款
11454,4675,1876,1730,2640,华泰圣达菲7
11456,2975,1585,1590,1865,知豆D3
11462,2986,1676,1492,1870,2017款ARCFOX LITE 原力限量版(停产) 
11485,4160,1810,1670,2560,长安CS35
11490,4680,1720,1545,2700,御捷E行
11502,4981,1854,1447,2900,广汽讴歌TLX-L
11507,4200,1720,1460,2600,起亚K2
11509,4750,1835,1773,2760,瑞风R3
11514,4470,1818,1600,2610,小鹏汽车
11517,3500,1500,1550,2385,御捷马纯电动运动型乘用车 YGM6351BEV
11517,3500,1500,1610,2385,御捷马纯电动运动型乘用车 YGM6351BEV
11519,4340,1765,1610,2580,云度π3
11521,4620,1922,1734,2725,华晨中华V6
11526,4590,1765,1490,2710,江淮iEVA50
19004,4581,1770,1448,2760,奔驰C级
19028,4431,1804,1532,2699,奔驰GLA 
19028,4431,1804,1535,2699,奔驰GLA
19031,4661,1898,1664,2873,奔驰GLC
10045,3998,1720,1503,2500,北京汽车E系列
10048,4670,1790,1450,2675,绅宝D60
10053,4654,1816,1680,2670,绅宝X65
10056,4495,1636,1907,2920,威旺306
10073,4770,1820,1420,2700,现代MOINCA名驭
10076,4725,1880,1675,2700,北京现代全新胜达
10079,4855,1835,1485,2805,索纳塔九
10079,4855,1865,1485,2805,索纳塔九
10080,4325,1795,1680,2630,北京现代途胜
10089,4582,1794,1515,2650,北汽EU260
10090,3998,1720,1503,2500,北京汽车E系列
10094,4790,1825,1950,2985,蒙派克E
10095,4288,1725,1728,2695,福田汽车 谜迪
10097,4830,1910,1840,2790,福田萨瓦纳
10098,4520,1720,1785,2810,北汽幻速H2
10100,4660,1770,1780,2800,北汽 幻速H3
10101,4210,1730,1735,2560,幻速S2
10105,3664,1610,1689,2485,昌河铃木牌
10114,4525,1700,1783,2790,昌河M50
10121,3460,1618,1465,2340,比亚迪F0
10122,4533,1705,1490,2600,比亚迪F3
10128,4700,1790,1480,2670,比亚迪G5
10132,4810,1855,1725,2720,比亚迪S6
10135,4740,1770,1480,2670,比亚迪秦
class_id,car_length,car_width,car_height,wheelbase
10137,4565,1830,1720,2660,比亚迪宋
10138,4815,1855,1720,2720,比亚迪唐
10162,4730,1850,1450,2705,思伯睿
10165,5150,1920,1925,3198,风行CM7
10171,4320,1804,1620,2685,景逸2011
10179,4530,1730,1490,2620,东风风神A30 
10180,4680,1720,1515,2700,风神A60
10180,4680,1720,1545,2700,风神A60
10181,4518,1740,1562,2620,东风风神AX3
10182,4690,1850,1727,2712,东风风神AX7
10184,2995,1560,1595,2160,东风风神E30
10187,4502,1740,1465,2610,风神S30
10190,4480,1695,1530,2600,启辰D50
10200,4630,1785,1685,2630,东风日产奇骏
10202,4845,1765,1475,2775,日产天籁
10203,4315,1783,1606,2630,逍客2012款
10205,4426,1696,1514,2600,阳光2011款
10205,4426,1696,1517,2600,阳光2011款
10207,4500,1680,2000,3050,东风小康C37
10208,4500,1680,1960,3050,东风小康C37
10212,3640,1560,1925,2360,东风小康K17
10218,4365,1705,1770,2725,东风牌DXK5020XXYF4F型厢式运输车
10218,4365,1720,1770,2725,东风牌DXK5020XXYF4F型厢式运输车
10222,4744,1803,1614,2880,英菲尼迪QX50
10224,4845,1876,1768,2910,纳智捷大7 
10226,4650,1805,1490,2720,纳智捷5Sedan
10229,4510,1750,1470,2650,东风悦达起亚福瑞迪
10235,4720,1815,1465,2770,起亚K4
10237,4270,1780,1630,2590,起亚KX3
10240,4350,1735,1470,2610,赛拉图欧风 
10241,4350,1840,1695,2630,起亚YQ
10254,4255,1820,1480,2620,东风标致308S
10268,4805,1860,1458,2815,雪铁龙C5
10271,4420,1695,1825,2695,帅客2013
10273,4625,1790,1735,2630,东风风度风度MX6
10275,4400,1695,1847,2725,日产NV200
10277,4771,1870,1828,2790,福迪揽福 
10283,4405,1700,1415,2500,V3菱悦
10284,4570,1770,1495,2610,东南牌DN7001MBEV型纯电动轿车
10285,4475,1770,1475,2610,东南V6菱仕
10286,4530,1900,1700,2700,东南DX7
10292,4570,1760,1490,2635,风迪思 2013款
10293,4860,1845,1485,2750,三菱戈蓝GLGalan
10298,5223,1901,1872,3430,威霆2010款
10299,4993,1901,1875,3200,福建奔驰唯雅诺 
10300,4397,1730,1764,2721,福汽启腾EX80
10301,4071,1677,1902,2700,启腾M70
10302,4438,1839,1445,2690,观致3
10303,4452,1854,1504,2694,观致3都市SUV
10310,4294,1772,1605,2610,缤智2015款
class_id,car_length,car_width,car_height,wheelbase
10313,4995,1900,1560,2795,歌诗图
10318,4679,1850,1471,2708,菲亚特菲翔
10319,4545,1850,1475,2708,致悦2014款
10321,4785,1910,1730,2790,丰田-汉兰达
10321,4785,1910,1760,2790,汉兰达2011款
10322,4825,1820,1485,2775,凯美瑞 2009款 240V 
10322,4825,1825,1480,2775,凯美瑞 2s
10326,4115,1700,1495,2550,YARiS L 致炫 
10343,4695,1815,1790,2800,帕杰罗·劲畅
10345,4250,1730,1725,2550,广汽吉奥财运500
10367,4420,1730,1480,2615,海马福美来
10370,4545,1737,1495,2600,海马M3
10373,4545,1737,1495,2600,海马M3
10387,3650,1660,1690,2370,御捷捷顺MPV
10410,4469,1798,1583,2760,宝马X
10415,4210,1755,1460,2580,中华H320
10419,4390,1703,1482,2570,中华H230 
10419,4390,1703,1497,2570,中华H230 
10435,4790,1800,1970,2985,金杯阁瑞斯
10438,4618,1858,1753,2620,宝利格
10441,4500,1820,1675,2620,华泰圣达菲
10443,4426,1862,1683,2660,华泰圣达菲2017
10450,4715,1866,1481,2856,沃尔沃S60L
10455,4956,1861,1513,2850,博瑞2016款
10456,4519,1831,1694,2670,博越2016款 1.8TD
10468,4541,1833,1673,2661,吉利GX7 
10474,4397,1789,1470,2650,帝豪EC7
10478,3598,1630,1465,2340,吉利熊猫
10483,4547,1734,1470,2600,吉利GC7 
10489,3598,1630,1595,2340,康迪K11
10504,4435,1725,1505,2560,和悦
10510,4645,1740,1900,2810,瑞风M3
10513,4325,1765,1605,2560,本田XR—V
10518,3427,1565,1450,2260,江铃E100
10521,4568,1855,1680,2660,陆风X5
10535,4600,1855,1810,2730,卡威W1
10542,4700,1765,1490,2700,力帆720
10544,4100,1722,1540,2550,力帆X50
10546,4015,1595,1880,2525,力帆丰顺
10549,4350,1730,1800,2720,乐途
10563,4730,1823,1590,2800,普力马
10570,4450,1748,1493,2570,奇瑞E3
10597,3972,1726,1510,2510,凯翼C3
10621,3897,1650,1465,2460,东风标致206
10630,4546,1710,1427,2548,桑塔纳
10633,4282,1706,1475,2603,桑塔纳浩纳
10637,4391,1794,1670,2678,上海大众途安
10648,4653,1827,1478,2705,MG6  掀背
10652,4500,1855,1675,2650,名爵锐腾
10653,4521,1788,1492,2650,荣威350333
class_id,car_length,car_width,car_height,wheelbase
10659,4676,1888,1765,2740,荣威-W5
10659,4676,1905,1751,2740,荣威-W5
10660,5168,1980,1928,3198,上汽大通G10
10661,4278,1774,1656,2555,昂科拉 2014款 1.4T
10661,4278,1781,1661,2555,昂科拉 2014款 1.4T
10662,4667,1839,1660,2750,昂科威 2015款 20T
10662,4667,1839,1663,2750,昂科威 2015款 20T
10665,4998,1851,1461,2807,君越 
10670,4718,1802,1466,2700,威朗2015款 三厢 15S
10673,4587,1798,1463,2640,英朗2015款 15N
10680,4032,1735,1517,2525,雪弗莱爱唯欧
10685,4673,1868,1753,2707,科帕奇 
10688,4205,1722,1525,2550,乐风RV
10689,4855,1854,1476,2737,迈锐宝
10692,4620,1820,1750,2750,宝骏560 
10695,4685,1785,1735,2750,宝骏730
10696,3495,1495,1485,2340,乐驰0.8
10699,4400,1680,1770,2720,五菱宏光 2014款 1.5L S舒适型
10700,4500,1721,1715,2720,五菱宏光 2015款 S1 1.5L 
10705,3695,1495,1860,2500,五菱之光
10706,3890,1580,1822,2500,五菱之光 2015款 1.2L S标准型
10756,4155,1645,1435,2405,夏利N5
10759,4170,1765,1625,2557,骏派D60 
10779,4149,1735,1444,2511,高尔夫1.6/2V MT舒适型
10782,4765,1820,1472,2709,迈腾2010款 1.4TSI
10785,4570,1845,1670,2660,一汽丰田RAV4 
10787,4855,1780,1480,2850,皇冠 2005款 3.0L Royal Saloon
10789,5080,1940,1900,2850,丰田 兰德酷路泽
10790,4760,1885,1845,2790,普拉多
10792,4735,1775,1450,2850,锐志2008款 2.5S
10793,4285,1690,1440,2500,威驰2004款 1.5L
10793,4285,1695,1450,2500,,威驰2004款 1.5L
10810,5555,2018,1578,3435,红旗L5
10816,4870,1840,1450,2830,ATENZA 2014款
10820,4625,1790,1500,2630,奔腾B30
10822,4705,1782,1465,2675,奔腾B70
10825,4200,1660,1465,2525,欧朗2014款 两厢
10837,3735,1510,1890,2370,哈飞 民意
10843,4530,1871,1520,2727,长安DS 5
10844,4553,1858,1588,2732,DS 6
10844,4553,1858,1600,2732,DS 6
10845,4368,1823,1483,2648,福克斯 2012款 两厢 
10851,4810,1800,1450,2754,蒙迪欧福特
10854,4524,1838,1701,2640,翼虎 2013款 2.0L GTDi 四驱尊贵型
10856,3905,1695,1480,2490,马自达2
10860,4555,1840,1710,2700,马自达CX-5
10866,4545,1730,1475,2650,铃木启悦
class_id,car_length,car_width,car_height,wheelbase
10871,3730,1650,1528,2410,长安牌 新奔奔EV	
10874,3520,1570,1490,2345,奔奔MINI
10877,3800,1700,1670,2505,欧力威EV
10879,4360,1685,1820,2750,欧诺2012款 
10883,4620,1820,1490,2660,逸动2014款 
10884,4425,1815,1485,2660,逸动XT
10886,4180,1650,1465,2410,悦翔V3
10905,3930,1540,1890,2500,长安之星3
10910,3898,1729,1621,2460,哈弗H1
10913,4645,1800,1775,2700,哈弗H5
10916,4806,1975,1794,2915,哈弗H8
10926,4452,1705,1480,2610,长城C30
10929,4011,1744,1663,2499,哈弗M2
10947,3300,1405,1480,2175,江南T11
10948,3300,1405,1410,2175,江南TT
10955,2798,1563,1572,1765,众泰新芝麻E30
10956,3900,1555,1670,2420,众泰2008
10956,3900,1555,1715,2420,大地RX6405
10961,4631,1893,1664,2807,众泰T600
10961,4631,1893,1694,2807,众泰T600
10964,3826,1640,1446,2385,众泰Z200HB
10965,4565,1766,1486,2700,众泰Z300
10979,4648,1827,1479,2705,荣威550
11157,5066,1858,1470,2900,东风A9
11161,4100,1740,1635,2510,长安CS15
11162,3995,1645,1910,2605,长安之星S460
11164,5179,1879,1492,3109,凯迪拉克CT6
11166,4342,1800,1600,2670,BMW2系
11173,4680,1845,1715,2780,东风风光580
11197,5140,1928,1880,3200,奔驰V级
11199,4715,1910,1690,2760,德国宝沃BX7
11200,4500,1834,1707,2661,远景SUV 
11201,5003,1910,1508,2907,传祺GA8
11202,4360,1785,1690,2535,比亚迪元
11204,4750,1800,1660,2800,海马轿车
11215,4633,1840,1535,2700,马自达CX—4
11216,4705,1847,2006,2800,北京BJ80
11222,4110,1750,1605,2519,北京牌EX260
11223,4720,1790,1780,2800,北汽幻速H3F
11226,4300,1815,1640,2570,北汽绅宝X35
11227,4245,1805,1695,2570,jeep 自由侠
11234,4820,1934,1760,2790,力帆X80
11237,4510,1850,1662,2730,标致4008
11239,3775,1665,1690,2450,启辰R30
11241,4545,1855,1690,2700,荣威RX5
11242,4671,1902,1697,2810,汉腾X7
11243,3994,1626,1505,2400,江铃E160
11246,4496,1840,1615,2660,广汽讴歌讴歌CDX
11250,4777,1794,1481,2678,斯柯达昕动
11252,4720,1802,1478,2680,帝豪C7
class_id,car_length,car_width,car_height,wheelbase
11256,4451,1916,1945,2670,北京牌多用途乘用车
11259,5074,1893,1489,3009,上汽大众辉昂
11261,4032,1680,1470,2550,宝俊310
11264,4470,1837,1670,2670,奇瑞牌SQR7150T152型轿车
11266,4710,1855,1750,2750,SVM斯威汽车
11268,4520,1790,1750,2700,幻速S3L
11270,4588,1932,1676,2712,驭胜S330
11271,4200,1760,1570,2555,瑞虎3X
11279,4724,1796,1718,2760,北汽威旺M50F
11280,4672,1843,1678,2705,科雷傲
11282,4900,1925,1785,2850,哈弗H7L
11283,4720,1850,1727,2712,东风风度MX5
11284,4559,1793,1487,2614,蔚领230TSi
11285,4517,1705,1477,2600,竞瑞
11285,4517,1705,1489,2600,竞瑞
11293,4736,1942,1672,2850,大迈X7—8AT
11295,4640,1790,1445,2660,中华H3
11299,4744,1929,1647,2850,众泰SR9
11315,3675,1630,1518,2360,北汽EC系列
11329,4949,1930,1760,2810,长安CS95
11332,4220,1740,1625,2550,宝俊510
11345,3461,1560,1470,2260,华泰EV160R
11346,4700,1780,1820,2760,福田乘用车伽途im6
11349,4671,1835,1464,2715,荣威ei6
11351,4190,1728,1460,2600,悦纳RV
11352,4652,1843,1684,2725,探界者 535T
11352,4652,1843,1693,2725,探界者 535T
11353,4460,1820,1685,2650,北汽幻速S5
11354,4825,1942,1675,2820,本田URV
11355,4730,1795,1730,2760,长安凌轩
11359,4790,1900,1760,2750,江淮瑞风
11362,4440,1700,1490,2550,丰田智享
11371,4745,1810,1845,2860,华晨金杯F50
11375,5005,1850,1970,2950,瑞风M6
11378,4615,1790,1790,2725,一汽斯威
11378,4615,1790,1820,2725,一汽斯威
11381,4580,1730,1825,2800,川汽野马
11383,4315,1840,1650,2600,猎豹CS9
11392,4654,1893,1696,2807,众泰T600
11393,4715,1830,1780,2760,比速T5
11398,4554,1855,1686,2700,荣威RX5
11401,4649,1830,1705,2680,哈弗M6
11402,4660,1810,1790,2750,风行SX6
11405,4405,1830,1640,2610,一汽大众新捷达
11406,4462,1857,1638,2680,长城汽车WEY VV5
11408,4655,1735,1790,2800,五菱宏光S3
11412,4720,1770,1855,2850,长安汽车—睿行S50T
11413,4350,1825,1655,2560,传祺GS3
11414,4569,1777,1493,2655,现代伊兰特EV
11415,5005,1932,1875,2950,上汽大通D90
class_id,car_length,car_width,car_height,wheelbase
11417,4580,1730,1825,2800,川汽野马
11426,4572,1825,1496,2670,奇瑞 艾瑞泽5e
11428,4780,1825,1465,2770,睿骋CC
11432,4539,1798,1475,2640,别克阅朗
11435,4771,1870,1828,2790,福迪缆福
11437,4300,1700,1460,2570,瑞纳GLX
11442,4680,1810,1680,2785,比亚迪宋MAX
11444,4756,1803,1487,2700,启辰D60
11447,4535,1735,1470,2610,华祺300E
11448,4390,1820,1715,2610,力帆鹏飞
11449,4465,1800,1535,2668,吉利远景S1
11452,4800,1850,1770,2780,北汽幻速S7
11455,4746,1882,1700,2800,众泰君马
11487,4760,1865,1760,2753,东风景逸X6
11497,3971,1745,1496,2461,全球鹰K17
11503,4510,1725,1700,2680,东风风光360
11504,4620,1770,1840,2750,长安欧尚X70A
11513,4439,1835,1550,2700,陆风逍遥
11523,4632,1850,1695,2700,众泰T500
11535,4712,1839,1673,2791,途观L
19399,4841,1846,1469,2888,宝马5系
10043,4350,1843,1834,2450,北京BJ40
10047,4582,1794,1486,2650,绅宝D50
10052,4405,1809,1685,2650,绅宝X55
10055,4030,1636,1907,2700,北汽威旺
10060,4595,1828,1830,2600,北京BW007
10074,4300,1705,1460,2570,瑞纳GL
10075,4085,1700,1460,2570,瑞纳GLS
10078,4820,1835,1475,2795,索纳塔八
10085,4525,1725,1425,2610,伊兰特
10092,3915,1640,1845,2500,风景V3
10099,4520,1720,1785,2810,北汽幻速H2
